====================================================
=     BMC SDR after KSB Manufacture Test Phase2    =
====================================================
Chassis Serial Number: 516-22011400300007
========== BMC SDR ==========
===== BMC SDR check PASS =====
TEMP_CPU0        | 72.000     | degrees C  | ok    | na        | na        | na        | na        | 95.000    | na        [PASS]
TEMP_CPU_Outlet  | 51.000     | degrees C  | ok    | na        | na        | na        | na        | 85.000    | na        [PASS]
TEMP_MB_Outlet   | 40.000     | degrees C  | ok    | na        | na        | na        | na        | 85.000    | na        [PASS]
TEMP_VR_Zone     | 35.000     | degrees C  | ok    | na        | na        | na        | na        | 85.000    | na        [PASS]
TEMP_MEM_Zone_1  | 30.000     | degrees C  | ok    | na        | na        | na        | na        | 85.000    | na        [PASS]
TEMP_MEM_Zone_2  | 33.000     | degrees C  | ok    | na        | na        | na        | na        | 85.000    | na        [PASS]
TEMP_BMC_Zone    | 37.000     | degrees C  | ok    | na        | na        | na        | na        | 85.000    | na        [PASS]
TEMP_Air_Inlet   | 21.000     | degrees C  | ok    | na        | na        | na        | na        | 45.000    | na        [PASS]
TEMP_ADM1278     | 36.000     | degrees C  | ok    | na        | na        | na        | na        | 85.000    | na        [PASS]
TEMP_DIMM_A      | 37.000     | degrees C  | ok    | na        | na        | na        | na        | 87.000    | na        [PASS]
TEMP_DIMM_B      | 35.000     | degrees C  | ok    | na        | na        | na        | na        | 87.000    | na        [PASS]
TEMP_DIMM_C      | 34.000     | degrees C  | ok    | na        | na        | na        | na        | 87.000    | na        [PASS]
TEMP_DIMM_D      | 31.000     | degrees C  | ok    | na        | na        | na        | na        | 87.000    | na        [PASS]
TEMP_DIMM_E      | 37.000     | degrees C  | ok    | na        | na        | na        | na        | 87.000    | na        [PASS]
TEMP_DIMM_F      | 36.000     | degrees C  | ok    | na        | na        | na        | na        | 87.000    | na        [PASS]
TEMP_DIMM_G      | 35.000     | degrees C  | ok    | na        | na        | na        | na        | 87.000    | na        [PASS]
TEMP_DIMM_H      | 32.000     | degrees C  | ok    | na        | na        | na        | na        | 87.000    | na        [PASS]
12V              | 12.540     | Volts      | ok    | na        | 11.400    | na        | na        | 12.600    | na        [PASS]
5V               | 5.070      | Volts      | ok    | na        | 4.620     | na        | na        | 5.370     | na        [PASS]
3V3              | 3.280      | Volts      | ok    | na        | 3.040     | na        | na        | 3.560     | na        [PASS]
VDDCR_CPU        | 1.090      | Volts      | ok    | na        | 0.420     | na        | na        | 1.480     | na        [PASS]
VDDCR_SOC        | 0.840      | Volts      | ok    | na        | 0.600     | na        | na        | 1.160     | na        [PASS]
VDDCR_SOC_S5     | 0.900      | Volts      | ok    | na        | 0.830     | na        | na        | 0.970     | na        [PASS]
VDD_33_BAT       | 3.120      | Volts      | ok    | na        | 2.500     | na        | na        | 3.240     | na        [PASS]
