±ø½X	²Õ¥ó¥N½X	²Õ¥ó±ø½X	¸j©w®É¶¡	¸j©w¤H­û
516-22011400300001	U2BP SN2	505-21050700710009	2022-1-19 13:09:55	¼Úªø®Ë
516-22011400300001	U2BP SN	505-21050700710004	2022-1-19 13:09:40	¼Úªø®Ë
516-22011400300001	U2BP PN2	78626-2152-00009	2022-1-19 13:08:54	¼Úªø®Ë
516-22011400300001	U2BP PN	78626-2152-00004	2022-1-19 13:08:35	¼Úªø®Ë
516-22011400300001	SPPN	M06-01213-G4_A04	2022-1-19 11:34:06	«J¨Î§»
516-22011400300001	YB ABB-FLB	7C-0030-00R03	2022-1-19 11:34:06	«J¨Î§»
516-22011400300001	YB U2BP PN	7C-0032-01-01	2022-1-19 11:34:06	«J¨Î§»
516-22011400300001	YB U2BP PN2	7C-0032-01-01	2022-1-19 11:34:06	«J¨Î§»
516-22011400300001	YB KSB PN	7C-0031-00-01	2022-1-19 11:34:06	«J¨Î§»
516-22011400300001	YB KSB PN2	7C-0031-00-01	2022-1-19 11:34:06	«J¨Î§»
516-22011400300001	ATHENA MBPN	7C-0022-02-03	2022-1-19 11:34:06	«J¨Î§»
516-22011400300001	ABB-FLB	505-21050700410104	2022-1-19 11:34:06	«J¨Î§»
516-22011400300001	KSB PN	78625-2152-00017	2022-1-19 11:34:06	«J¨Î§»
516-22011400300001	KSB SN	505-21050700910017	2022-1-19 11:34:06	«J¨Î§»
516-22011400300001	KSB1 DIMM0	NCA12107020240151	2022-1-19 11:34:06	«J¨Î§»
516-22011400300001	KSB1 DIMM1	NCA12107020230002	2022-1-19 11:34:06	«J¨Î§»
516-22011400300001	KSB PN2	78625-2152-00018	2022-1-19 11:34:06	«J¨Î§»
516-22011400300001	KSB SN2	505-21050700910018	2022-1-19 11:34:06	«J¨Î§»
516-22011400300001	KSB2 DIMM1	NCA12107020230004	2022-1-19 11:34:06	«J¨Î§»
516-22011400300001	KSB2 DIMM0	NCA12107020230001	2022-1-19 11:34:06	«J¨Î§»
516-22011400300001	ATHENA MBSN	505-21072000110004	2022-1-19 11:34:06	«J¨Î§»
516-22011400300001	MBSN	84183-2149-00004	2022-1-19 11:34:06	«J¨Î§»
516-22011400300001	YB BLADE SN	C0-0019-14-01TBA2204AC23888	2022-1-19 11:34:06	«J¨Î§»
516-22011400300002	SPPN	M06-01213-G4_A04	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	YB ABB-FLB	7C-0030-00R03	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	YB U2BP PN	7C-0032-01-01	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	YB U2BP PN2	7C-0032-01-01	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	YB KSB PN	7C-0031-00-01	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	YB KSB PN2	7C-0031-00-01	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	ATHENA MBPN	7C-0022-02-03	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	ABB-FLB	505-21050700410096	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	U2BP PN	78626-2152-00028	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	U2BP SN	505-21050700710028	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	U2BP PN2	78626-2152-00029	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	U2BP SN2	505-21050700710029	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	KSB PN	78625-2152-00001	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	KSB SN	505-21050700910001	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	KSB1 DIMM0	NCA12107020230003	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	KSB1 DIMM1	NCA12107020230007	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	KSB PN2	78625-2152-00007	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	KSB SN2	505-21050700910007	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	KSB2 DIMM1	NCA12107020230006	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	KSB2 DIMM0	NCA12107020230005	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	ATHENA MBSN	505-21072000110035	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	MBSN	84183-2149-00035	2022-1-19 11:52:58	«J¨Î§»
516-22011400300002	YB BLADE SN	C0-0019-14-01TBA2204AC239FC	2022-1-19 11:52:58	«J¨Î§»
516-22011400300003	SPPN	M06-01213-G4_A04	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	YB ABB-FLB	7C-0030-00R03	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	YB U2BP PN	7C-0032-01-01	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	YB U2BP PN2	7C-0032-01-01	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	YB KSB PN	7C-0031-00-01	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	YB KSB PN2	7C-0031-00-01	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	ATHENA MBPN	7C-0022-02-03	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	ABB-FLB	505-21050700410083	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	U2BP PN	78626-2152-00038	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	U2BP SN	505-21050700710038	2022-1-19 12:59:01	«J¨Î§»
