KSB RAM3	NCA12105170420313
YB BLADE SN	C0-0019-14-01TBA2126AC235F4
KSB RAM1	NCA12105170420315
KSB RAM2	NCA12105170420314
ATHENA MBSN	504-20060500510407
FLB	504-20060400410366
MBSN	06983-2117-00407
KSB PN	07108-2116-00456
YB FLB PN	7C-0030-00R03
U2BP SN	504-20060500110627
U2BP SN2	504-20060500110428
KSB SN	504-21012200110523
KSB SN2	504-21012200110484
KSB RAM0	NCA12105170420316
SPPN	M06-01213-G4_A01
YB U2BP PN	7C-0032-01-01
YB U2BP PN2	7C-0032-01-01
YB KSB PN	7C-0032-01-01
YB KSB PN2	7C-0031-00-01
ATHENA MBPN	7C-0022-02-02
U2BP PN	06987-2115-00627
KSB PN2	07108-2116-00417
U2BP PN2	06987-2115-00428
